"","pi","xi1","xi2","eta1","eta2","ppv1","ppv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"45",0.1,0.7,0.5,0.990040821677151,0.999955697498646,0.75,0.95,0.0271752435979043,0.000612055035988836,0.0314351466483866,0.00559100841487655,0.00170183547744957,0.00348471073953961,0.0147716266258764,0.000148230847904288,0.0150801426120738,0,0,0,0,3.63941150942626e-05,0.00892686637546936,0,3.47813612389114e-06,0.891033261373312,0,0.0163,0.3124,0.6406
"46",0.1,0.95,0.7,0.968975979091354,0.982578593156844,0.65,0.75,0.0579404534196287,0.00214099028101074,0.0198176085307627,0.0049855789039967,0.0015451174289246,0.00857025133910177,0.00133341729550507,0.00205444267093417,0.00161214013013553,0,0,0,0,0.00886867322651752,0.0190529455912641,0,0.00681059293232322,0.865267788249895,0.0011,0.0507,0.1513,0.2473
"47",0.1,0.95,0.7,0.99292414547979,0.998694847034834,0.75,0.85,0.0590829694323144,0.000349344978165939,0.0165938864628821,0.000903514194683532,0.00756098720814114,0.0105092966855295,0.000511958391354275,0.0015912257953407,0.00289681685158841,0,0,0,0,0.000243589726774296,0.0061246793414147,0,0.000931047941875374,0.892700682989936,2e-04,0.0331,0.1848,0.3361
"48",0.1,0.95,0.7,0.987564915427356,0.998671900564029,0.85,0.95,0.0624960224018329,0.000591866607267867,0.0271749506777827,0.00390982579727053,0.000283687458435944,0.000543647046220886,0.00122967681865219,0.0014889209165406,0.00228140227599639,0,0,0,0,0.000233549343281014,0.0109580267720986,0,0.000961740149093337,0.887846683735527,1e-04,0.0286,0.1983,0.337
"49",0.1,0.95,0.7,0.998124602446527,0.996860085808051,0.65,0.85,0.0553126201772574,0.00493698756863054,0.00259749982286736,0.00278303683180763,0.00254449705317167,0.0268253585462386,0.00380637734777587,0.000616481021356863,0.000577141630894021,0,0,0,0,0.000684484887770398,0.00100337291035568,0,0.00214143788498367,0.89617070431689,0.0027,0.1472,0.441,0.6355
"50",0.1,0.95,0.7,0.994969589914156,0.99804746996883,0.75,0.95,0.0559783566977222,0.000331275034864026,0.0183358950748664,0.00998222241054868,0.000274657015791815,0.0100975937657095,0.00220883406837956,0.00122465477269369,0.00156651115942416,0,0,0,0,0.000531714743540412,0.00399565433371873,0,0.00122556228451265,0.894247068638228,3e-04,0.0792,0.4816,0.7286
"51",0.3,0.5,0.6,0.966581858618883,0.98928529671227,0.65,0.75,0.0601712945283945,0.015983852490317,0.0365501063771753,0.016564039408867,0.00677339901477833,0.0139573070607553,0.0638898852887966,0.0166175292688466,0.0694925865620694,0,0,0,0,0.00159285583015212,0.0217998431366294,0,0.00590743647125869,0.67069986456196,0.0217,0.1036,0.2026,0.2952
"52",0.3,0.5,0.6,0.948732916477768,0.999529298325734,0.75,0.85,0.0423149101035172,0.0173739330467946,0.079726375688601,0.00597190137594848,0.00212255793194906,0.00249032184213186,0.104993256016722,0.00722344152506832,0.0377833024692671,0,0,0,0,8.3058139622616e-05,0.0358039003259396,0,0.000246433032363269,0.663866608502074,0.0377,0.1416,0.2566,0.3756
"53",0.3,0.5,0.6,0.97312389858832,0.988556334759175,0.85,0.95,0.11120752797081,9.53057528960602e-05,0.0321884466162274,0.00394591737712322,0.000493483006956456,0.00206931927571879,0.0634565920372153,0.000801173854999032,0.0857422341080538,0,0,0,0,0.000205293954700481,0.0186079770334752,0,0.00780527171387679,0.673381457297948,0.0255,0.1919,0.4146,0.6121
"54",0.3,0.5,0.6,0.976433980820002,0.987524017975,0.65,0.85,0.0722386052494635,0.00326412697541916,0.0327198065020147,0.00372732275562914,0.00310301931641086,0.0349471191864633,0.0844572812997821,0.0132096444032953,0.0523330743115221,0,0,0,0,0.00704678790608093,0.00944942551991768,0,0.0016863995114188,0.681817387062583,0.1529,0.5336,0.8317,0.9455
