"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"113",0.5,0.85,0.95,0.85,0.95,0.85,0.95,0.15125,0.05625,0.021025,0.185,0.01125,0.000225,0.017,0.05425,0.00375,0,0,0,0,0.00665446095517835,0.0683455390448217,0,0.0183455390448217,0.406654460955178,0.3764,0.717,0.9286,0.9867
"114",0.5,0.85,0.95,0.278571428571429,0.283333333333334,0.65,0.85,0.08375,0.054,0.0112,0.07175,0.20225,0.00205,0.052,0.01125,0.01175,0,0,0,0,0.323859970996966,0.0368543147173201,0,0.0344733623363676,0.104812351949347,0.246,0.6613,0.9218,0.985
"115",0.5,0.85,0.95,0.45,0.95,0.75,0.95,0.187,0.086,0.00192,0.002,0.148,8e-05,0.0495,0.0025,0.023,0,0,0,0,0.0228044949588366,0.252195505041163,0,0.00219550504116342,0.222804494958837,0.8397,0.9985,1,1
"116",0.5,0.5,0.7,0.928571428571429,0.9,0.65,0.75,0.060925,0.0224,0.000525,0.122175,0.022,0.021975,0.06,0.0625,0.1275,0,0,0,0,0.0102326078174104,0.0254816778968753,0,0.0397673921825896,0.424518322103125,0.6632,0.9375,0.9967,0.9999
"121",0.5,0.7,0.95,0.557142857142857,0.15,0.65,0.75,0.1075,0.077,0.00014,0.0145,0.1505,0.00036,0.1195,0.006,0.0245,0,0,0,0,0.19601996961532,0.0254086018132512,0,0.22898003038468,0.0495913981867489,0.0946,0.1798,0.2983,0.4008
"122",0.5,0.7,0.95,0.9,0.283333333333334,0.75,0.85,0.126,0.034,0.00774,0.006,0.175,0.00126,0.0465,0.0875,0.016,0,0,0,0,0.0277066946960985,0.0222933053039014,0,0.330626638637235,0.119373361362765,0.1948,0.3457,0.5296,0.6835
"124",0.5,0.7,0.95,0.557142857142857,0.283333333333334,0.65,0.85,0.1235,0.036,0.008035,0.086,0.096,0.000465,0.1105,0.023,0.0165,0,0,0,0,0.118978911807616,0.102449659620955,0,0.239354421525717,0.0392170070457117,0.4015,0.7424,0.9403,0.9878
"125",0.5,0.7,0.95,0.9,0.95,0.75,0.95,0.03375,0.20725,0.0022,0.04745,0.05655,0.0028,0.0045,0.1255,0.02,0,0,0,0,0.0184689015848563,0.0315310984151437,0,0.00653109841514377,0.443468901584856,0.9843,1,1,1
"131",0.5,0.85,0.75,0.278571428571429,0.75,0.65,0.75,0.103133556434439,0.0212960146029814,0.02325,0.163979312442957,0.0173410404624277,0.096,0.065,0.00425,0.00575,0,0,0,0,0.11135667716735,0.249357608546935,0,0.0136433228326496,0.125642391453065,0.0876,0.2052,0.3786,0.5179
"136",0.5,0.95,0.85,0.0928571428571429,0.45,0.65,0.75,0.027,0.16525,0.03725,0.16,0.0485,0.037,0.0085,0.01575,0.00075,0,0,0,0,0.271978394267249,0.18159303430418,0,0.00302160573275095,0.0434069656958205,0.0176,0.061,0.1158,0.1796
"137",0.5,0.95,0.85,0.15,0.85,0.75,0.85,0.1825,0.1825,0.0155,0.03625,0.01,0.04825,0.008,0.00575,0.01125,0,0,0,0,0.00410496876575053,0.420895031234249,0,0.0708950312342495,0.00410496876575053,0.0384,0.0877,0.1946,0.3222
"139",0.5,0.95,0.85,0.0928571428571429,0.85,0.65,0.85,0.05675,0.074,0.0285,0.1845,0.0865,0.04475,0.0195,0.00375,0.00175,0,0,0,0,0.0491752339053035,0.404396194666125,0,0.0258247660946966,0.0206038053338749,0.0479,0.2008,0.442,0.6445
"146",0.5,0.95,0.7,0.0928571428571429,0.9,0.65,0.75,0.081,0.0541,0.0645,0.1294,0.0655,0.0805,0.00825,0.01175,0.005,0,0,0,0,0.0232375566124183,0.43033387195901,0,0.0267624433875816,0.0196661280409899,0.0452,0.0677,0.1243,0.1814
