"","pi","xi1","xi2","eta1","eta2","ppv1","ppv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"11",0.1,0.5,0.7,0.995235553457557,0.98056918046075,0.75,0.75,0.00995840161351317,0.00327744863229547,0.0274801462246313,0.00842664305983393,0.000241648468156785,0.000615707055851534,0.0472307585156466,0.000865099710554082,0.00190414671951719,0,0,0,0,0.00205560362424273,0.00223239826395616,0,0.0154321339610822,0.880279864150719,0,0.0036,0.0194,0.0253
"12",0.1,0.5,0.7,0.994835500595703,0.993107519054708,0.85,0.85,0.0287517269706135,0.00112019715469923,0.0165789178895486,0.000949623619815101,0.00249626075645806,0.000103273579433308,0.03507139733272,0.00161079416569414,0.0133178085310181,0,0,0,0,0.00370470555086344,0.000943343913003658,0,0.00249852729989952,0.892853423236233,0,0,0.0033,0.0131
"13",0.1,0.7,0.95,0.989098400222914,0.993438112915287,0.65,0.65,0.0367403923873907,0.0132265412594607,0.00191050040414432,0.00764098385924735,0.00790522537599366,0.00257635478827648,0.0212073276979193,0.00827952941998836,0.000513144807579205,0,0,0,0,0.00455371550974337,0.00525772428963434,0,0.00135198286649874,0.888836577334124,0,0.003,0.0165,0.0224
"14",0.1,0.7,0.95,0.980655426758393,0.973624600605561,0.75,0.75,0.0571360487564478,0.00439431636252592,0.00402722181911071,0.00341446873001219,0.000395620720837101,0.000632323611054222,0.0285028771047866,0.00115666832539035,0.000340454569835058,0,0,0,0,0.0156435416973508,0.0017665742200953,0,0.00809431775764469,0.874495566324909,0,0.0029,0.0197,0.0273
"15",0.1,0.7,0.95,0.999862216361798,0.994114708069634,0.85,0.85,0.0533481271710978,0.00503807585497308,0.00121920145530078,0.0085981882389068,0.00152003684937817,0.000276370336250576,0.0233059329167251,0.003189638968919,0.00350442820844864,0,0,0,0,3.34726630968341e-06,0.000120658008071706,0,0.00529341547101936,0.894582579254599,0,0.0019,0.0162,0.0256
"16",0.3,0.5,0.6,0.991786322550615,0.921212566818576,0.65,0.65,0.0263997132235642,0.00252928818603907,0.0723082218289996,0.0327962673591796,0.00280938596182709,0.0131571234395191,0.093652301514804,0.021813043754586,0.0345346547314813,0,0,0,0,0.00372146891079961,0.00202810530376973,0,0.0514297343161969,0.642820691469234,0.0163,0.0343,0.0392,0.0389
"17",0.3,0.5,0.6,0.957077843532066,0.980512673489284,0.75,0.75,0.0266205139413128,0.00690125010090986,0.101512368103426,0.00242214080653804,0.00948032881868359,0.00306339822870063,0.116188191670275,0.0183875746622805,0.0154242336678732,0,0,0,0,0.00766021359050528,0.0223852959370485,0,0.00598091496699615,0.66397357550545,0.0091,0.0269,0.0391,0.041
"18",0.3,0.5,0.6,0.981671660352731,0.980454373535966,0.85,0.85,0.0846831267107633,0.00249599330289529,0.0512262420761025,0.00302773364233982,0.00109464654363234,0.00747225772390277,0.076918787392997,0.0117797124073723,0.0613015001999948,0,0,0,0,0.00737010416808681,0.0054597335850014,0,0.00631183435673688,0.680858327890175,0.0051,0.0234,0.0352,0.0399
"19",0.3,0.75,0.85,0.912269897456281,0.975660675333929,0.65,0.65,0.105490162385085,0.0497809090128018,0.0308961250966578,0.0352135763808699,0.00289408956496601,0.000725137396579096,0.0361206539571076,0.0255006086991701,0.0133787375067631,0,0,0,0,0.0126322721801525,0.0487787996004508,0,0.0044052550860969,0.6341836731333,0.0167,0.0295,0.0413,0.0426
"20",0.3,0.75,0.85,0.957534868006146,0.938112423903242,0.75,0.75,0.151335081554401,0.0217860755424171,0.0179230371999189,0.0152860696899791,0.00337691290065499,0.015292823112591,0.057119826206418,0.00609603410613005,0.0117841396874901,0,0,0,0,0.00999650980713329,0.0197290825885649,0,0.0333247934605971,0.636949614143705,0.0185,0.0347,0.0432,0.0396
"21",0.3,0.75,0.85,0.963649274035041,0.953188418456287,0.85,0.85,0.178943883463003,0.00132428405893064,0.032610494951167,0.00227597413931938,0.00654309245738072,0.00330225145414929,0.0633830334161872,0.00252973246517929,0.00908725359468365,0,0,0,0,0.0198049420520795,0.00564056612339181,0,0.0129631650285198,0.661591326796009,0.0067,0.0294,0.0386,0.0427
