,pi,xi1,xi2,eta1,eta2,ppv1,ppv2,p11,p12,p13,p14,p15,p16,p17,p18,p19,p01,p02,p03,p04,p05,p06,p07,p08,p09,N100,N200,N350,N500
30,0.3,0.85,0.85,0.990214189,0.990214189,0.75,0.95,0.1811606569,0.0018771085,0.0133497854,0.0395987777,0.0004612902,0.0185523813,0.0279981298,0.003904037,0.0130978333,0,0,0,0,0.0066979342,0.0001521334,0,0.0001521334,0.6929977989,0.2637,0.7165,0.9383,0.9889
31,0.5,0.5,0.5,0.9185483793,0.9185483793,0.65,0.75,0.0066004332,0.0191481316,0.1632232115,0.0263347115,0.0061118102,0.0285817005,0.1851092131,0.0066957005,0.058195088,0,0,0,0,0.0020598108,0.0386659995,0,0.0386659995,0.4206081901,0.0791,0.1259,0.1681,0.2081
32,0.5,0.5,0.5,0.9670812051,0.9670812051,0.75,0.85,0.1846284157,0.0066990967,0.0085170357,0.0163639701,0.0056440545,0.0281474272,0.0254981021,0.0111663609,0.2133355371,0,0,0,0,0.0113354355,0.005123962,0,0.005123962,0.4784166406,0.0917,0.3116,0.5511,0.7087
33,0.5,0.5,0.5,0.9979017313,0.9979017313,0.85,0.95,0.0157345171,0.0100409916,0.1876162555,0.0313510248,0.0001804714,0.0050767396,0.1914111358,0.0012818593,0.0573070049,0,0,0,0,0.0004950244,0.0005541099,0,0.0005541099,0.4983967557,0.0799,0.1038,0.1366,0.1706
34,0.5,0.5,0.5,0.9464674863,0.9464674863,0.65,0.85,0.0191914982,0.0009847871,0.1597217817,0.0513453327,0.0046489738,0.0141076266,0.1647144875,0.0091149208,0.0761705917,0,0,0,0,0.0249429147,0.0018233422,0,0.0018233422,0.471410401,0.1529,0.2698,0.4215,0.5598
35,0.5,0.5,0.5,0.9815296,0.9815296,0.75,0.95,0.1476780346,0.0027395367,0.0440088288,0.0133248502,0.0006080378,0.0416407126,0.0852705552,0.0003789855,0.1643504587,0,0,0,0,0.0040242436,0.0052109564,0,0.0052109564,0.4855538435,0.2313,0.494,0.7594,0.8797
36,0.5,0.75,0.75,0.8389318331,0.8389318331,0.65,0.75,0.2458514879,0.0318902382,0.0183554278,0.0445910969,0.0008913466,0.0334204023,0.0512079778,0.0005678526,0.0732241698,0,0,0,0,0.0007123096,0.0798217739,0,0.0798217739,0.3396441427,0.1719,0.374,0.6071,0.775
37,0.5,0.75,0.75,0.9938698145,0.9938698145,0.75,0.85,0.2331350396,0.0298838166,0.0205299634,0.0312484459,0.0058682997,0.0543344349,0.0569718433,0.0178925549,0.0501356017,0,0,0,0,0.0010697237,0.001995369,0,0.001995369,0.4949395382,0.1312,0.288,0.4693,0.6288
38,0.5,0.75,0.75,0.9938836828,0.9938836828,0.85,0.95,0.2855685242,0.0066883481,0.0290925625,0.0461167738,0.001744959,0.0057888323,0.0274699527,0.0074114422,0.0901186052,0,0,0,0,0.0017932514,0.0012649072,0,0.0012649072,0.4956769342,0.1318,0.3337,0.5567,0.7286
39,0.5,0.75,0.75,0.91945165,0.91945165,0.65,0.85,0.169688676,0.005131714,0.095107766,0.0688196033,0.0138817228,0.0223704601,0.1144747694,0.0030035145,0.0075217739,0,0,0,0,0.0148282029,0.0254459721,0,0.0254459721,0.4342798529,0.3219,0.5969,0.8422,0.9433
40,0.5,0.75,0.75,0.9724768933,0.9724768933,0.75,0.95,0.2579428048,0.001821879,0.0318064812,0.0401206009,0.0037606431,0.039547591,0.07126007,9.40021924842327E-005,0.0536459279,0,0,0,0,0.0068628662,0.0068986872,0,0.0068986872,0.4793397595,0.5037,0.842,0.9758,0.9979
41,0.5,0.85,0.85,0.993333674,0.993333674,0.65,0.75,0.2550939363,0.0114831612,0.0118394584,0.0040411462,0.0844966936,0.0580455547,0.0621147898,0.0077702729,0.0051149868,0,0,0,0,0.0023121691,0.0010209939,0,0.0010209939,0.4956458431,0.27,0.5444,0.7951,0.9137
42,0.5,0.85,0.85,0.9146811646,0.9146811646,0.75,0.85,0.2958758704,0.0021966132,0.0526720797,0.0504124733,0.0209272461,0.0029157173,0.0512221614,0.0043656356,0.019412203,0,0,0,0,0.0302972202,0.0123621975,0,0.0123621975,0.4449783848,0.1714,0.3715,0.5992,0.7616
43,0.5,0.85,0.85,0.9734638889,0.9734638889,0.85,0.95,0.321257564,0.0047846493,0.0464856339,0.0284233576,0.0025921255,0.0214566696,0.0666737311,0.0012685725,0.0070576965,0,0,0,0,0.005190398,0.0080776576,0,0.0080776576,0.4786542869,0.1805,0.3639,0.5837,0.74
44,0.5,0.85,0.85,0.9692557636,0.9692557636,0.65,0.85,0.2467464189,0.0141347629,0.025360695,0.0759068864,0.0160224624,0.0468287743,0.0516629951,0.0205264742,0.0028105307,0,0,0,0,0.008447725,0.0069243932,0,0.0069243932,0.4777034886,0.5169,0.8707,0.9864,0.999
45,0.5,0.85,0.85,0.9729207358,0.9729207358,0.75,0.95,0.3015744534,0.0064711306,0.0208591401,0.0426392057,0.000956036,0.0525000341,0.0723989915,0.0009601829,0.0016408257,0,0,0,0,0.0108785399,0.0026610922,0,0.0026610922,0.4837992757,0.631,0.9288,0.9962,1
